scenario_label,simulation_year,metric,aggregate,raw_value,n_simulations,simulation_ids,value
G1L1W1,2037,share_over_67,mean,0.23596228561351076,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.23596228561351076
G1L1W1,2037,share_under_20,mean,0.18650926847002602,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18650926847002602
G1L1W1,2037,total_20_66,mean,21763.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",45287.170775000006
G1L1W1,2037,total_over_67,mean,9091.666666666666,3,"[np.int64(1), np.int64(2), np.int64(3)]",18919.076458333333
G1L1W1,2037,total_pop,mean,38530.333333333336,3,"[np.int64(1), np.int64(2), np.int64(3)]",80178.73389166668
G1L1W1,2037,total_under_20,mean,7186.333333333333,3,"[np.int64(1), np.int64(2), np.int64(3)]",14954.220691666667
G1L1W1,2037,youth_quota,mean,0.3302069151918434,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3302069151918434
G1L1W1,2038,old_quota,mean,0.41879099994364005,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.41879099994364005
G1L1W1,2038,share_20_66,mean,0.5649517430363912,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5649517430363912
G1L1W1,2038,share_over_67,mean,0.2365963913095045,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.2365963913095045
G1L1W1,2038,share_under_20,mean,0.18554988448752976,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.18554988448752976
G1L1W1,2038,total_20_66,mean,21674.333333333332,3,"[np.int64(1), np.int64(2), np.int64(3)]",45102.662091666665
G1L1W1,2038,total_over_67,mean,9077.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",18888.556225
G1L1W1,2038,total_pop,mean,38365.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",79834.687625
G1L1W1,2038,total_under_20,mean,7118.666666666667,3,"[np.int64(1), np.int64(2), np.int64(3)]",14813.411433333335
G1L1W1,2038,youth_quota,mean,0.32843768416773383,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.32843768416773383
G1L1W1,2039,old_quota,mean,0.41977438801712125,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.41977438801712125
G1L1W1,2039,share_20_66,mean,0.5653630306122676,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5653630306122676
G1L1W1,2039,share_over_67,mean,0.23732308664636603,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.23732308664636603
G1L1W1,2039,share_under_20,mean,0.1852374645594319,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.1852374645594319
G1L1W1,2039,total_20_66,mean,21597.333333333332,3,"[np.int64(1), np.int64(2), np.int64(3)]",44942.43086666667
G1L1W1,2039,total_over_67,mean,9066.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",18865.66605
G1L1W1,2039,total_pop,mean,38201.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",79493.41592500001
G1L1W1,2039,total_under_20,mean,7076.333333333333,3,"[np.int64(1), np.int64(2), np.int64(3)]",14725.318941666666
G1L1W1,2039,youth_quota,mean,0.3276491992250448,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.3276491992250448
G1L1W1,2040,old_quota,mean,0.41866789907677554,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.41866789907677554
G1L1W1,2040,share_20_66,mean,0.5676029787689149,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.5676029787689149
G1L1W1,2040,share_over_67,mean,0.23763511842140858,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.23763511842140858
G1L1W1,2040,share_under_20,mean,0.1841051632964108,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.1841051632964108
G1L1W1,2040,total_20_66,mean,21606.666666666668,3,"[np.int64(1), np.int64(2), np.int64(3)]",44961.85283333334
G1L1W1,2040,total_over_67,mean,9046.0,3,"[np.int64(1), np.int64(2), np.int64(3)]",18824.047550000003
G1L1W1,2040,total_pop,mean,38066.666666666664,3,"[np.int64(1), np.int64(2), np.int64(3)]",79213.87833333333
G1L1W1,2040,total_under_20,mean,7008.333333333333,3,"[np.int64(1), np.int64(2), np.int64(3)]",14583.816041666667
G1L1W1,2040,youth_quota,mean,0.32436112077471496,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.32436112077471496
G1L1W1,2041,old_quota,mean,0.4141642404588331,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.4141642404588331
G1L1W1,2041,share_20_66,mean,0.569429524503214,3,"[np.int64(1), np.int64(2), np.int64(3)]",0.569429524503214
